Latitude,Longitude,Angle,Speed (km/h),HDOP,matched_way,match_dist_m,proj_lat,proj_lon,noisy,off_path
37.499033,127.02715,150.6,72.0,1.0,520307304,8.969942443462118,37.49906660268577,127.0272232371002,False,False
37.498883,127.027267,151.2,72.0,1.0,520307304,4.0954780404328055,37.49889834224579,127.02730043844596,False,False
37.498733,127.027367,160.6,72.0,1.0,520307304,1.0157172751064971,37.4987368550854,127.0273752698972,False,False
37.49855,127.02745,160.6,72.0,1.0,520307304,1.248490374568521,37.49855473855976,127.02746016511908,False,False
37.498383,127.027517,159.5,72.0,1.0,218864485,2.513645498338766,37.498392812624736,127.02753733678888,False,False
37.498217,127.0276,159.5,72.0,1.0,218864485,1.8827833823787532,37.498224065156165,127.02761536690318,False,False
37.49805,127.027683,159.5,72.0,1.0,520307303,0.1566288439221216,37.49804865378994,127.02768340915524,False,True
37.497883,127.02775,159.5,72.0,1.0,990628459,0.1324287467431679,37.49788250489113,127.02774891830306,False,False
37.497717,127.027833,159.5,72.0,1.0,990628459,0.8429295482472702,37.49771384855513,127.02782611483094,False,False
37.49755,127.027917,159.5,72.0,1.0,990628459,1.6083208699575888,37.49754398700097,127.0279038630052,False,False
37.497383,127.028,159.5,72.0,1.0,628232693,1.2721617174215485,37.49737740733831,127.0280099659748,False,False
37.4972,127.028083,159.5,72.0,1.0,521766182,1.6005933895550155,37.497193648205055,127.02807010075664,False,False
37.497033,127.02815,159.5,72.0,1.0,521766182,0.0792441272396222,37.4970326855276,127.02814936136856,False,False
37.496867,127.028233,159.5,72.0,1.0,521766182,0.2049718371703364,37.49686618658975,127.02823134812412,False,False
37.4967,127.028317,159.5,72.0,1.0,521766182,0.3813913172519756,37.496698486486665,127.0283139263528,False,False
37.496533,127.0284,159.5,72.0,1.0,521766182,0.4579420483601632,37.49653118270274,127.02839630942752,False,False
37.496367,127.028467,159.5,72.0,1.0,521766182,1.0142302351327,37.49637102487135,127.02847517372028,False,False
