Latitude,Longitude,Angle,Speed (km/h),HDOP,matched_way,match_dist_m,proj_lat,proj_lon
37.496533,127.028617,336.3,72.0,1.0,521766182,22.129460705353306,37.49644518144627,127.02843865782977
37.4967,127.028533,336.3,72.0,1.0,521766182,21.953041224922252,37.496612881549346,127.02835607960111
37.496867,127.028433,336.3,72.0,1.0,521766182,20.178721752836257,37.49678692275889,127.02827037890961
37.497017,127.02835,324.0,72.0,1.0,521766182,19.266162379648538,37.496940544159585,127.02819473326049
37.497167,127.028217,324.0,72.0,1.0,521766182,13.36016552754433,37.49711398151799,127.02810932991501
37.497317,127.028083,319.8,90.6,1.0,521766182,7.354299926466688,37.497287815195556,127.0280237314156
37.497483,127.0279,10.9,98.9,1.0,521766182,3.2178653735121383,37.497495103512925,127.02792625047607
37.497733,127.02795,355.0,78.7,1.0,914407834,5.721555391092645,37.49771169212406,127.02799677247285
37.497933,127.027933,30.9,66.3,1.0,990628460,5.586293468910138,37.4979809843591,127.02791831108023
37.498067,127.028033,64.4,63.2,1.0,990628460,5.41877979807611,37.4980204545263,127.02804724844974
37.498133,127.028217,70.2,72.0,1.0,990628460,6.44853461110663,37.49807760928303,127.02823395614598
37.4982,127.028433,70.2,72.0,1.0,975332778,6.433447257719309,37.49814460710954,127.02844947987774
37.498267,127.02865,47.7,72.0,1.0,975332778,6.693851371135019,37.49820936499331,127.02866714692726
37.498383,127.028817,74.5,72.0,1.0,375049565,1.462573937310648,37.49839553123728,127.02881305191718
37.498433,127.029033,74.5,72.0,1.0,375049565,3.3793319505590875,37.49846195389385,127.02902387780655
37.498483,127.02925,74.5,72.0,1.0,375049565,5.329541404283596,37.49852866316016,127.02923561339685
