Latitude,Longitude,Angle,Speed (km/h),HDOP,matched_way,match_dist_m,proj_lat,proj_lon,noisy,off_path
37.496717,127.028083,339.2,35.9,1.0,1229817205,0.3450890857377933,37.49671837296131,127.02808577935512,False,False
37.4968,127.028033,339.2,35.9,1.0,1229817205,1.2432683483653264,37.49680494643098,127.02804301331076,False,False
37.496883,127.028,339.2,35.9,1.0,1229817205,0.4447355987537903,37.496884769412006,127.02800358191035,False,False
37.496967,127.027967,339.2,35.9,1.0,1229817205,0.4031001639070066,37.49696539623751,127.02796375342236,False,False
37.49705,127.027917,339.2,35.9,1.0,1229817205,0.4950790987205248,37.49705196970718,127.027920987378,False,False
37.497133,127.027883,349.9,33.3,1.0,1229817205,0.2017084260335161,37.49713219786575,127.0278813752497,False,False
37.497217,127.027867,330.2,39.8,1.0,1229817205,2.744127742160027,37.49720608742248,127.02784489620176,False,False
37.4973,127.0278,339.2,35.9,1.0,1229817205,0.1465478598971296,37.49729941722288,127.02779881956504,False,False
37.497383,127.027767,326.5,43.0,1.0,1229817205,0.942780873609774,37.49737925084168,127.02775940595184,False,False
37.497467,127.027683,356.6,31.7,1.0,913949669,1.992374396229449,37.49747988801477,127.0276954188374,False,False
37.49755,127.027683,339.2,35.9,1.0,521766174,0.5869450647598633,37.49754774820975,127.02767823243472,False,False
37.497633,127.027633,339.2,35.9,1.0,521766174,0.5007213459246632,37.49763488415479,127.02763708439552,False,False
37.497717,127.0276,59.8,410.2,1.0,521766174,0.0804730737974791,37.49771669718941,127.0275993435793,False,True
37.498233,127.028717,249.9,404.7,1.0,975332778,0.9392925950046976,37.49822491255796,127.02871940608595,False,True
37.497883,127.027517,324.1,43.2,1.0,472042765,0.51251409497636,37.49788502548084,127.02752113448666,False,False
37.497967,127.027433,359.5,32.4,1.0,304445274,0.5226521307948043,37.49797148015946,127.02743159586495,False,True
37.49805,127.027433,355.0,35.9,1.0,523141074,0.9275486780204008,37.49805349170732,127.02744056536584,False,False
37.49815,127.027433,312.3,50.7,1.0,523141074,3.8698790949910458,37.49813459977413,127.0274018337058,False,False
37.498233,127.027317,4.0,31.1,1.0,523141074,3.613900279735808,37.498247381555394,127.02734610475407,False,False
37.4983,127.027317,339.2,35.9,1.0,523141074,0.3098177108030732,37.49830123292294,127.02731949513478,False,False
37.498383,127.027283,339.2,35.9,1.0,523141074,0.3900711915169108,37.49838144770746,127.0272798585392,False,False
37.498467,127.027233,339.2,35.9,1.0,523141074,0.4889636615181525,37.49846888404839,127.02723696782977,False,False
37.49855,127.0272,0.6,40.0,1.0,523141074,0.1557198041012873,37.49854939998885,127.02719873636892,False,False
37.49865,127.0272,316.4,37.8,1.0,523141074,4.811914221228805,37.49863228555382,127.02716057054032,False,False
37.498733,127.027117,326.8,42.8,1.0,523141074,0.1703248800930159,37.49873237297077,127.02711560433548,False,False
37.498817,127.027033,356.0,31.7,1.0,523141074,4.519892699019309,37.49883389656061,127.02706991998896,False,False
37.4989,127.027033,339.2,35.9,1.0,523141074,0.6749074919829603,37.49890252298364,127.02703851286918,False,False
37.498983,127.027,339.2,35.9,1.0,523141074,0.1702861182853471,37.49898363657479,127.02700139095371,False,False
37.499067,127.02695,339.2,35.9,1.0,523141074,1.3401331119961295,37.49907200977387,127.0269609466536,False,False
37.49915,127.026917,339.2,35.9,1.0,523141074,0.8355117382985167,37.49915312336501,127.02692382473816,False,False
