Latitude,Longitude,Angle,Speed (km/h),HDOP,matched_way,match_dist_m,proj_lat,proj_lon
37.496633,127.02815,336.0,54.1,1.0,218873820,2.323705727115743,37.496624035596895,127.02813114879656
37.49675,127.028083,336.0,54.1,1.0,1229817205,1.2819103843361508,37.49674489982895,127.02807267546541
37.496883,127.028017,336.0,54.1,1.0,1229817205,1.2519764124172612,37.49687801892337,127.0280069165543
37.497,127.02795,353.0,64.1,1.0,1229817205,0.3333876228099007,37.49699867359379,127.02794731488872
37.497167,127.027917,354.6,71.9,1.0,1229817205,5.271036359190423,37.49714603866063,127.02787454209165
37.497333,127.0279,326.8,59.1,1.0,521766182,10.209540206717769,37.49737140163818,127.02798328666982
37.497467,127.0278,348.7,52.0,1.0,1229817205,8.376283482000435,37.49743369001905,127.02773252949665
37.497583,127.027767,0.0,71.5,1.0,521766174,10.611048269423232,37.4975422911561,127.02768080988031
37.497767,127.027767,20.6,43.7,1.0,990628459,3.5211291374788627,37.49778016437938,127.02779576108618
37.497867,127.027817,298.0,61.7,1.0,990628459,6.172937404884158,37.49784392135486,127.02776657856478
37.49795,127.02765,25.7,51.1,1.0,494952007,5.360553045019184,37.49790380337795,127.02766359127959
37.498067,127.027717,326.3,67.6,1.0,520307303,0.8666558774005729,37.49805955117491,127.02771926393038
37.4982,127.0276,321.7,41.3,1.0,218864485,2.6733104161859997,37.4982100316137,127.02762181902746
37.498283,127.027517,336.5,42.8,1.0,218864485,7.208480980842838,37.49831004986901,127.02757583418682
37.498383,127.027467,340.3,70.6,1.0,218864485,7.526611405332794,37.49841238195275,127.02752789446869
37.49855,127.027383,339.0,47.4,1.0,520307304,8.008517993065956,37.49858039578188,127.02744820477909
37.49865,127.027333,344.7,58.3,1.0,520307304,8.349961897392777,37.49868169170884,127.02740098479087
37.4988,127.027283,318.8,72.4,1.0,520307304,6.3397293882386325,37.49882406200896,127.02733461762196
37.498933,127.027133,337.5,53.5,1.0,523141074,10.97613621360791,37.49889196828462,127.02704334326368
37.49905,127.027067,338.2,36.7,1.0,523141074,9.715447934543738,37.49901368107258,127.02698764098542
37.499133,127.027033,335.8,37.4,1.0,523141074,10.118846162028108,37.499095173062756,127.02695034589435
37.499233,127.026983,335.8,37.4,1.0,523141074,9.690201136073624,37.49919677545183,127.0269038472097
